full_address,council_area,property_type,development_zone_base,property_count,lot_size
29 PARSLOW STREET,STONNINGTON,UNIT,General Residential Zone,6,Small
7 SCHOFIELD STREET,MOONEE VALLEY,UNIT,General Residential Zone,6,Small
119 RIVERSDALE ROAD,BOROONDARA,UNIT,Residential Growth Zone,6,Small
97 COWPER STREET,MARIBYRNONG,UNIT,Activity Centre Zone,6,Small
120 CAROLINE STREET,STONNINGTON,UNIT,General Residential Zone,6,Small
28 WELLS STREET,MELBOURNE,UNIT,Mixed Use Zone,6,Small
15 IRIS ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,6,Small
33 STUDLEY PARK ROAD,BOROONDARA,UNIT,General Residential Zone,6,Small
29 PORTLAND PLACE,STONNINGTON,UNIT,General Residential Zone,6,Small
29 ORMOND ROAD,PORT PHILLIP,UNIT,Residential Growth Zone,6,Small
15 ILLAWARRA ROAD,BOROONDARA,UNIT,General Residential Zone,6,Small
5 WOORIGOLEEN ROAD,STONNINGTON,UNIT,General Residential Zone,6,Small
7 LISSON GROVE,BOROONDARA,UNIT,General Residential Zone,6,Small
12 BEITH STREET,MERRI-BEK,UNIT,Mixed Use Zone,6,Small
52 ARTHUR STREET,STONNINGTON,UNIT,General Residential Zone,6,Small
33 VIEW STREET,MERRI-BEK,UNIT,General Residential Zone,6,Small
28 STODART STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,6,Small
10 GURNER STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,6,Small
326 BEACONSFIELD PARADE,PORT PHILLIP,UNIT,Residential Growth Zone,6,Small
119 NORTHUMBERLAND ROAD,MERRI-BEK,UNIT,Neighbourhood Residential Zone,6,Small
330 RIVERSDALE ROAD,BOROONDARA,UNIT,Residential Growth Zone,6,Small
50 BARKLY STREET,MELBOURNE,UNIT,General Residential Zone,6,Small
7 ROYAL AVENUE,MOONEE VALLEY,UNIT,General Residential Zone,6,Small
15 EGERTON ROAD,STONNINGTON,UNIT,General Residential Zone,6,Small
50 GIBDON STREET,YARRA,UNIT,General Residential Zone,6,Small
33 GROVE ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,6,Small
29 CHARNWOOD ROAD,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,6,Small
29 ELPHIN GROVE,BOROONDARA,UNIT,General Residential Zone,6,Small
7 OVERMAN COURT,MOONEE VALLEY,UNIT,General Residential Zone,6,Small
29 CHAPEL STREET,PORT PHILLIP,UNIT,General Residential Zone,6,Small
29 GRANT STREET,STONNINGTON,UNIT,General Residential Zone,6,Small
29 GRATTAN STREET,STONNINGTON,UNIT,Activity Centre Zone,6,Small
10 HAVELOCK ROAD,BOROONDARA,UNIT,General Residential Zone,6,Small
7 RAVENS GROVE,PORT PHILLIP,UNIT,General Residential Zone,6,Small
1193 HEATHERTON ROAD,GREATER DANDENONG,UNIT,General Residential Zone,6,Small
33 ELM GROVE,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,6,Small
15 KIREEP ROAD,BOROONDARA,UNIT,General Residential Zone,6,Small
12 BANCHORY STREET,MOONEE VALLEY,UNIT,General Residential Zone,6,Small
33 EDGAR STREET,STONNINGTON,UNIT,General Residential Zone,6,Small
64 SNELL GROVE,MERRI-BEK,UNIT,General Residential Zone,6,Small
287 BRUNSWICK ROAD,MERRI-BEK,UNIT,Neighbourhood Residential Zone,6,Small
33 DAVISON STREET,YARRA,UNIT,General Residential Zone,6,Small
15 KEPPEL STREET,MELBOURNE,UNIT,General Residential Zone,6,Small
33 DAVIES STREET,MERRI-BEK,UNIT,General Residential Zone,6,Small
29 HUNTER STREET,STONNINGTON,UNIT,General Residential Zone,6,Small
50 BAYVIEW ROAD,MARIBYRNONG,UNIT,General Residential Zone,6,Small
97 WESTBURY STREET,PORT PHILLIP,UNIT,General Residential Zone,6,Small
33 BYRON STREET,PORT PHILLIP,UNIT,General Residential Zone,6,Small
33 BRUNSWICK ROAD,MERRI-BEK,UNIT,Neighbourhood Residential Zone,6,Small
648 HIGH STREET,STONNINGTON,UNIT,Residential Growth Zone,6,Small
64 ALMA ROAD,PORT PHILLIP,UNIT,General Residential Zone,6,Small
28 PATTERSON STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,6,Small
65 PEARSON STREET,MERRI-BEK,UNIT,Mixed Use Zone,6,Small
63 TENNYSON STREET,PORT PHILLIP,UNIT,General Residential Zone,6,Small
3 ANCHOR PLACE,STONNINGTON,UNIT,Activity Centre Zone,6,Small
34 DAVIS AVENUE,STONNINGTON,UNIT,General Residential Zone,6,Small
1429 HIGH STREET,STONNINGTON,UNIT,General Residential Zone,6,Small
106 WESTBURY STREET,PORT PHILLIP,UNIT,General Residential Zone,6,Small
279 NICHOLSON STREET,MELBOURNE,UNIT,General Residential Zone,6,Small
10 JAGO STREET,YARRA,UNIT,Mixed Use Zone,6,Small
7 HEMMINGS STREET,GREATER DANDENONG,UNIT,Residential Growth Zone,6,Small
63 ORMOND ESPLANADE,PORT PHILLIP,UNIT,General Residential Zone,6,Small
65 ORMOND ROAD,PORT PHILLIP,UNIT,Residential Growth Zone,6,Small
277 NICHOLSON STREET,MARIBYRNONG,UNIT,General Residential Zone,6,Small
121 MANNINGHAM ROAD,MANNINGHAM,UNIT,Residential Growth Zone,6,Small
12 BERKELEY STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,6,Small
1421 HIGH STREET,STONNINGTON,UNIT,General Residential Zone,6,Small
50 ORMOND ROAD,PORT PHILLIP,UNIT,Residential Growth Zone,6,Small
275 BALLARAT ROAD,MARIBYRNONG,UNIT,General Residential Zone,6,Small
118 MILLER STREET,YARRA,UNIT,Neighbourhood Residential Zone,6,Small
63 HIGH STREET,STONNINGTON,UNIT,General Residential Zone,6,Small
272 WILLIAMS ROAD,STONNINGTON,UNIT,General Residential Zone,6,Small
3 COWDEROY STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,6,Small
96 CURZON STREET,MELBOURNE,UNIT,Mixed Use Zone,6,Small
272 HEIDELBERG ROAD,YARRA,UNIT,Commercial 1 Zone,6,Small
70 LYNDHURST STREET,YARRA,UNIT,General Residential Zone,6,Small
104 RAILWAY PARADE,GREATER DANDENONG,UNIT,General Residential Zone,6,Small
34 CRIMEA STREET,PORT PHILLIP,UNIT,General Residential Zone,6,Small
15 ROBINSON ROAD,BOROONDARA,UNIT,General Residential Zone,6,Small
34 COLLIER CRESCENT,MERRI-BEK,UNIT,Neighbourhood Residential Zone,6,Small
104 MOOR STREET,YARRA,UNIT,Mixed Use Zone,6,Small
333 ORRONG ROAD,PORT PHILLIP,UNIT,General Residential Zone,6,Small
15 HENRY STREET,MANNINGHAM,UNIT,General Residential Zone,6,Small
5 WILLOW GROVE,BOROONDARA,UNIT,Neighbourhood Residential Zone,6,Small
12 SOUTHEY STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,6,Small
636 MALVERN ROAD,STONNINGTON,UNIT,Residential Growth Zone,6,Small
28 MCLEAN STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,6,Small
65 BLAXLAND DRIVE,GREATER DANDENONG,UNIT,General Residential Zone,6,Small
32 WILLIAMS ROAD,STONNINGTON,UNIT,Residential Growth Zone,6,Small
98 BURKE ROAD,STONNINGTON,UNIT,General Residential Zone,6,Small
7 WALLACE AVENUE,STONNINGTON,UNIT,General Residential Zone,6,Small
1207 DANDENONG ROAD,STONNINGTON,UNIT,General Residential Zone,6,Small
517 ST KILDA STREET,PORT PHILLIP,UNIT,General Residential Zone,6,Small
50 LITTLE LA TROBE STREET,MELBOURNE,UNIT,Capital City Zone,6,Small
96 WELLS STREET,MELBOURNE,UNIT,Mixed Use Zone,6,Small
34 ANN STREET,GREATER DANDENONG,UNIT,General Residential Zone,6,Small
297 CLARENDON STREET,PORT PHILLIP,UNIT,Commercial 1 Zone,6,Small
10 IDA STREET,YARRA,UNIT,Neighbourhood Residential Zone,6,Small
34 BARKLY STREET,PORT PHILLIP,UNIT,Mixed Use Zone,6,Small
28 FAVERSHAM ROAD,BOROONDARA,UNIT,General Residential Zone,6,Small
121 DAWSON STREET,MERRI-BEK,UNIT,General Residential Zone,6,Small
12 ROCHESTER STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,6,Small
34 CHANDLER ROAD,GREATER DANDENONG,UNIT,General Residential Zone,6,Small
15 RICHELIEU STREET,MARIBYRNONG,UNIT,General Residential Zone,6,Small
31 ORANGE GROVE,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,6,Small
117 LINCOLN ROAD,MOONEE VALLEY,UNIT,General Residential Zone,6,Small
29 DICKENS STREET,PORT PHILLIP,UNIT,General Residential Zone,6,Small
69 SPRING ROAD,GREATER DANDENONG,UNIT,General Residential Zone,6,Small
94 RIVER ESPLANADE,MELBOURNE,UNIT,Docklands Zone,6,Small
26 ELDRIDGE STREET,MARIBYRNONG,UNIT,Residential Growth Zone,6,Small
30 ESPLANADE,PORT PHILLIP,UNIT,General Residential Zone,6,Small
30 FINSBURY STREET,MOONEE VALLEY,UNIT,General Residential Zone,6,Small
25 SELWYN AVENUE,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,6,Small
68 WESTBURY STREET,PORT PHILLIP,UNIT,General Residential Zone,6,Small
14 YARRAFORD AVENUE,YARRA,UNIT,Neighbourhood Residential Zone,6,Small
35 SCOTT GROVE,STONNINGTON,HOUSE,General Residential Zone,6,Small
67 EGLINTON STREET,MOONEE VALLEY,UNIT,General Residential Zone,6,Small
353 FLINDERS LANE,MELBOURNE,UNIT,Capital City Zone,6,Small
147 GLEN HUNTLY ROAD,PORT PHILLIP,UNIT,General Residential Zone,6,Small
30 FROMHOLD DRIVE,MANNINGHAM,UNIT,General Residential Zone,6,Small
35 ROWENA PARADE,YARRA,UNIT,Neighbourhood Residential Zone,6,Small
674 MALVERN ROAD,STONNINGTON,UNIT,Residential Growth Zone,6,Small
99 SUMMERHILL ROAD,MARIBYRNONG,UNIT,General Residential Zone,6,Small
36 CANBERRA AVENUE,GREATER DANDENONG,UNIT,General Residential Zone,6,Small
693 ORRONG ROAD,STONNINGTON,UNIT,General Residential Zone,6,Small
105 CROWN STREET,YARRA,UNIT,Commercial 1 Zone,6,Small
250 GLENLYON ROAD,MERRI-BEK,UNIT,Neighbourhood Residential Zone,6,Small
30 STEPHEN STREET,MARIBYRNONG,UNIT,General Residential Zone,6,Small
1460 MALVERN ROAD,STONNINGTON,UNIT,Residential Growth Zone,6,Small
67 WATTLE VALLEY ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,6,Small
736 DONCASTER ROAD,MANNINGHAM,UNIT,Residential Growth Zone,6,Small
695 BARKLY STREET,MARIBYRNONG,UNIT,General Residential Zone,6,Small
678 LYGON STREET,YARRA,UNIT,General Residential Zone,6,Small
520 VICTORIA STREET,MELBOURNE,UNIT,Mixed Use Zone,6,Small
67 ROSEBERRY STREET,MOONEE VALLEY,UNIT,General Residential Zone,6,Small
736 ORRONG ROAD,STONNINGTON,UNIT,General Residential Zone,6,Small
736 WARRIGAL ROAD,STONNINGTON,UNIT,Residential Growth Zone,6,Small
30 MELISSA STREET,MOONEE VALLEY,HOUSE,General Residential Zone,6,Small
126 CARLISLE STREET,PORT PHILLIP,UNIT,Commercial 1 Zone,6,Small
250 WILLIAMSONS ROAD,MANNINGHAM,UNIT,General Residential Zone,6,Small
25 THE AVENUE,STONNINGTON,UNIT,Neighbourhood Residential Zone,6,Small
10 CARMICHAEL STREET,MARIBYRNONG,UNIT,General Residential Zone,6,Small
115 THE PARADE,MOONEE VALLEY,UNIT,General Residential Zone,6,Small
30 ORMOND ROAD,MOONEE VALLEY,UNIT,General Residential Zone,6,Small
724 HEATHERTON ROAD,GREATER DANDENONG,UNIT,General Residential Zone,6,Small
723 ORRONG ROAD,STONNINGTON,UNIT,General Residential Zone,6,Small
94 SNELL GROVE,MERRI-BEK,UNIT,Residential Growth Zone,6,Small
31 GRICE CRESCENT,MOONEE VALLEY,UNIT,General Residential Zone,6,Small
30 BLENHEIM STREET,PORT PHILLIP,UNIT,General Residential Zone,6,Small
1551 HIGH STREET,STONNINGTON,UNIT,Residential Growth Zone,6,Small
350 ASCOT VALE ROAD,MOONEE VALLEY,UNIT,Activity Centre Zone,6,Small
610 MORELAND ROAD,MERRI-BEK,UNIT,General Residential Zone,6,Small
309 RIVERSDALE ROAD,BOROONDARA,UNIT,Residential Growth Zone,6,Small
26 BARNETT STREET,MELBOURNE,UNIT,General Residential Zone,6,Small
670 MALVERN ROAD,STONNINGTON,UNIT,Residential Growth Zone,6,Small
155 MT ALEXANDER ROAD,MOONEE VALLEY,UNIT,Commercial 1 Zone,6,Small
94 TENNYSON STREET,PORT PHILLIP,UNIT,General Residential Zone,6,Small
30 PARK STREET,MOONEE VALLEY,UNIT,General Residential Zone,6,Small
115 STANLEY STREET,MELBOURNE,UNIT,Mixed Use Zone,6,Small
31 FAVERSHAM ROAD,BOROONDARA,UNIT,General Residential Zone,6,Small
12 LYTTON STREET,MERRI-BEK,UNIT,General Residential Zone,6,Small
309 CARLISLE STREET,PORT PHILLIP,UNIT,General Residential Zone,6,Small
12 LAWES STREET,BOROONDARA,UNIT,General Residential Zone,6,Small
72 WITHERS STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,6,Small
35 WALTHAM STREET,YARRA,UNIT,Neighbourhood Residential Zone,6,Small
10 DALEY STREET,PORT PHILLIP,HOUSE,General Residential Zone,6,Small
26 CHARNWOOD CRESCENT,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,6,Small
257 BUCKLEY STREET,MOONEE VALLEY,UNIT,General Residential Zone,6,Small
31 EILDON ROAD,PORT PHILLIP,UNIT,General Residential Zone,6,Small
51 RUSKIN STREET,PORT PHILLIP,UNIT,General Residential Zone,6,Small
3 VALENCY ROAD,STONNINGTON,UNIT,General Residential Zone,6,Small
3 WANDO GROVE,PORT PHILLIP,UNIT,General Residential Zone,6,Small
36 ABERDEEN ROAD,STONNINGTON,UNIT,General Residential Zone,6,Small
26 KELVINSIDE ROAD,GREATER DANDENONG,UNIT,General Residential Zone,6,Small
31 MERCER ROAD,STONNINGTON,UNIT,General Residential Zone,6,Small
696 BURWOOD ROAD,BOROONDARA,UNIT,General Residential Zone,6,Small
72 KENSINGTON ROAD,MELBOURNE,UNIT,General Residential Zone,6,Small
1447 DANDENONG ROAD,STONNINGTON,UNIT,Residential Growth Zone,6,Small
154 ATHOL ROAD,GREATER DANDENONG,UNIT,General Residential Zone,6,Small
3 SUNLINE AVENUE,GREATER DANDENONG,UNIT,General Residential Zone,6,Small
35 MAITLAND STREET,STONNINGTON,UNIT,General Residential Zone,6,Small
67 BLYTH STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,6,Small
304 DANDENONG ROAD,PORT PHILLIP,UNIT,General Residential Zone,6,Small
1 TAPAROO ROAD,MANNINGHAM,UNIT,General Residential Zone,6,Small
116 EDINBURGH STREET,MOONEE VALLEY,UNIT,General Residential Zone,6,Small
25 MARNOO STREET,MARIBYRNONG,UNIT,General Residential Zone,6,Small
7 ADAM STREET,YARRA,UNIT,General Residential Zone,6,Small
61 FLEMINGTON STREET,MOONEE VALLEY,UNIT,General Residential Zone,6,Small
149 BEACH STREET,PORT PHILLIP,UNIT,Residential Growth Zone,6,Small
31 BRUNSWICK ROAD,MERRI-BEK,UNIT,Neighbourhood Residential Zone,6,Small
52 YOUNG STREET,YARRA,UNIT,Mixed Use Zone,6,Small
356 BARKLY STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,6,Small
3 TYRONE STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,6,Small
51 JAMES STREET,GREATER DANDENONG,UNIT,General Residential Zone,6,Small
36 GLAMIS ROAD,MARIBYRNONG,UNIT,General Residential Zone,6,Small
68 ERICA AVENUE,STONNINGTON,UNIT,General Residential Zone,6,Small
140 BRIGHTON ROAD,PORT PHILLIP,UNIT,General Residential Zone,6,Small
301 ST GEORGES ROAD,YARRA,UNIT,Mixed Use Zone,6,Small
140 BLYTH STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,6,Small
12 GLASSHOUSE STREET,YARRA,UNIT,General Residential Zone,6,Small
301 WILLIAMSTOWN ROAD,MARIBYRNONG,UNIT,General Residential Zone,6,Small
31 OLYMPIC AVENUE,GREATER DANDENONG,UNIT,General Residential Zone,6,Small
680 VICTORIA STREET,MELBOURNE,UNIT,Mixed Use Zone,6,Small
507 ST KILDA STREET,PORT PHILLIP,HOUSE,General Residential Zone,6,Small
42 BURNS STREET,MARIBYRNONG,UNIT,General Residential Zone,5,Small
294 POLICE ROAD,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
295 BELL STREET,MERRI-BEK,UNIT,Residential Growth Zone,5,Small
42 STUDLEY AVENUE,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
2 GOURLAY STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
42 ROBERTS STREET,MARIBYRNONG,UNIT,General Residential Zone,5,Small
321 HIGH STREET,BOROONDARA,UNIT,Commercial 1 Zone,5,Small
11 CHURCHILL STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
11 KENNEDY STREET,YARRA,UNIT,Neighbourhood Residential Zone,5,Small
12 PRINCES STREET,PORT PHILLIP,UNIT,General Residential Zone,5,Small
46 CORHAMPTON ROAD,BOROONDARA,HOUSE,Neighbourhood Residential Zone,5,Small
12 SANDOWN ROAD,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
42 ALPHINGTON STREET,YARRA,UNIT,Neighbourhood Residential Zone,5,Small
321 DANDENONG ROAD,STONNINGTON,UNIT,Residential Growth Zone,5,Small
823 RATHDOWNE STREET,YARRA,UNIT,Neighbourhood Residential Zone,5,Small
56 LA SCALA AVENUE,MARIBYRNONG,UNIT,Comprehensive Development Zone,5,Small
827 PARK STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
2 MALCOLM CRESCENT,MANNINGHAM,HOUSE,General Residential Zone,5,Small
2 MANNINGHAM STREET,MELBOURNE,UNIT,General Residential Zone,5,Small
1 HIGH STREET,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
10 WILTON VALE CRESCENT,STONNINGTON,HOUSE,General Residential Zone,5,Small
18 WESTS ROAD,MARIBYRNONG,UNIT,Mixed Use Zone,5,Small
2 GROOM STREET,YARRA,UNIT,Neighbourhood Residential Zone,5,Small
12 SHELLEY STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
42 ARGYLE STREET,MARIBYRNONG,UNIT,General Residential Zone,5,Small
12 BLESSINGTON STREET,PORT PHILLIP,UNIT,Commercial 1 Zone,5,Small
83 LEWISHAM ROAD NORTH,STONNINGTON,UNIT,General Residential Zone,5,Small
2 LYALL STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
3 BIRTLES STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
7 HIGH STREET,PORT PHILLIP,UNIT,Residential Growth Zone,5,Small
10 AUSTIN AVENUE,PORT PHILLIP,UNIT,General Residential Zone,5,Small
12 RAYNES STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
3 ARDOCH STREET,MOONEE VALLEY,HOUSE,General Residential Zone,5,Small
298 PORTER STREET,MANNINGHAM,UNIT,General Residential Zone,5,Small
419 LONSDALE STREET,MELBOURNE,UNIT,Capital City Zone,5,Small
10 WINIFRED STREET,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
455 PRINCES HIGHWAY,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
83 MILLER STREET,YARRA,UNIT,General Residential Zone,5,Small
2 KALANG ROAD,BOROONDARA,UNIT,General Residential Zone,5,Small
299 ORRONG ROAD,PORT PHILLIP,HOUSE,General Residential Zone,5,Small
18 WEIR STREET,BOROONDARA,UNIT,General Residential Zone,5,Small
11 CHURCHILL AVENUE,MARIBYRNONG,UNIT,General Residential Zone,5,Small
7 JEPSON STREET,MARIBYRNONG,UNIT,General Residential Zone,5,Small
30 LARKSPUR AVENUE,MANNINGHAM,UNIT,General Residential Zone,5,Small
134 MITCHELL STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
134 MORELAND ROAD,MERRI-BEK,UNIT,General Residential Zone,5,Small
18 WATT STREET,GREATER DANDENONG,UNIT,Residential Growth Zone,5,Small
65 GROSVENOR STREET,PORT PHILLIP,UNIT,General Residential Zone,5,Small
7 JAMES STREET,GREATER DANDENONG,HOUSE,General Residential Zone,5,Small
7 HUTTON STREET,GREATER DANDENONG,UNIT,Mixed Use Zone,5,Small
3 BALLATER STREET,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
46 BAYVIEW ROAD,MARIBYRNONG,HOUSE,General Residential Zone,5,Small
42 DISRAELI STREET,BOROONDARA,UNIT,General Residential Zone,5,Small
31 ALMA ROAD,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
42 PASSFIELD STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
7 JAMES AVENUE,BOROONDARA,UNIT,General Residential Zone,5,Small
42 CORNWALL STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
18 SCHOFIELD STREET,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
9 BELMONT AVENUE,STONNINGTON,UNIT,General Residential Zone,5,Small
2 LINTON COURT,BOROONDARA,UNIT,General Residential Zone,5,Small
12 KIPLING STREET,PORT PHILLIP,UNIT,General Residential Zone,5,Small
30 MARINE PARADE,PORT PHILLIP,UNIT,General Residential Zone,5,Small
10 WREXHAM ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
14 DEVON ROAD,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
18 SPRINGFIELD AVENUE,STONNINGTON,UNIT,General Residential Zone,5,Small
42 PARSLOW STREET,STONNINGTON,UNIT,General Residential Zone,5,Small
9 BEAUMONT PARADE,MARIBYRNONG,HOUSE,General Residential Zone,5,Small
7 HORNSBY STREET,GREATER DANDENONG,UNIT,Comprehensive Development Zone,5,Small
297 ORRONG ROAD,PORT PHILLIP,UNIT,General Residential Zone,5,Small
12 BRENBEAL STREET,BOROONDARA,UNIT,General Residential Zone,5,Small
2 LAUNDER STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
12 SHIRLEY STREET,MERRI-BEK,UNIT,General Residential Zone,5,Small
41 WILGAH STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
18 ROSSFIELD AVENUE,BOROONDARA,UNIT,General Residential Zone,5,Small
7 MERCER ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
33 DICKENS STREET,PORT PHILLIP,UNIT,General Residential Zone,5,Small
101 PEARSON STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
30 WILLIAMS ROAD,STONNINGTON,UNIT,Residential Growth Zone,5,Small
132 INKERMAN STREET,PORT PHILLIP,UNIT,General Residential Zone,5,Small
304 WALSH STREET,MELBOURNE,UNIT,General Residential Zone,5,Small
9 EILDON ROAD,PORT PHILLIP,UNIT,General Residential Zone,5,Small
29 JACKSON STREET,PORT PHILLIP,UNIT,General Residential Zone,5,Small
11 MOWBRAY STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
64 STUDLEY PARK ROAD,BOROONDARA,UNIT,General Residential Zone,5,Small
12 AUSTIN CRESCENT,MERRI-BEK,UNIT,General Residential Zone,5,Small
29 LEWISHAM ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
2 STEVENSON STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
30 TENNYSON STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
46 SURREY DRIVE,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
64 WILSON STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
7 MASCOMA STREET,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
7 MARTIN STREET,PORT PHILLIP,UNIT,Mixed Use Zone,5,Small
11 MOTHERWELL STREET,STONNINGTON,HOUSE,General Residential Zone,5,Small
815 PARK STREET,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
29 MAY ROAD,STONNINGTON,UNIT,Neighbourhood Residential Zone,5,Small
132 PARKER STREET,MANNINGHAM,UNIT,General Residential Zone,5,Small
676 TOORAK ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
460 GLENFERRIE ROAD,BOROONDARA,UNIT,Residential Growth Zone,5,Small
1 KINGSLEY STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
58 WELLS STREET,MELBOURNE,UNIT,Mixed Use Zone,5,Small
81 GLENAIR COURT,MANNINGHAM,UNIT,General Residential Zone,5,Small
81 BELLAIRS AVENUE,MARIBYRNONG,UNIT,Neighbourhood Residential Zone,5,Small
2 WOIWURUNG CRESCENT,MERRI-BEK,UNIT,General Residential Zone,5,Small
408 QUEEN STREET,MELBOURNE,UNIT,Capital City Zone,5,Small
2 WEST STREET,MERRI-BEK,UNIT,Commercial 1 Zone,5,Small
464 ALBION STREET,MERRI-BEK,UNIT,Residential Growth Zone,5,Small
59 RHODES PARADE,MERRI-BEK,HOUSE,General Residential Zone,5,Small
303 CHURCH STREET,YARRA,UNIT,General Residential Zone,5,Small
12 ARDMILLAN ROAD,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
64 POWELL STREET,MARIBYRNONG,UNIT,General Residential Zone,5,Small
33 FRANKLIN ROAD,MANNINGHAM,UNIT,General Residential Zone,5,Small
12 HARTWOOD STREET,BOROONDARA,UNIT,General Residential Zone,5,Small
68 DENBIGH ROAD,STONNINGTON,HOUSE,General Residential Zone,5,Small
463 BRUNSWICK ROAD,MERRI-BEK,UNIT,Neighbourhood Residential Zone,5,Small
33 ELPHIN GROVE,BOROONDARA,UNIT,General Residential Zone,5,Small
41 CARROLL CRESCENT,STONNINGTON,UNIT,General Residential Zone,5,Small
303 FLEMINGTON ROAD,MELBOURNE,UNIT,General Residential Zone,5,Small
41 CHANDLER ROAD,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
29 GREVILLE STREET,STONNINGTON,UNIT,Neighbourhood Residential Zone,5,Small
300 INKERMAN STREET,PORT PHILLIP,UNIT,General Residential Zone,5,Small
29 HARDY STREET,STONNINGTON,UNIT,Neighbourhood Residential Zone,5,Small
59 MORELAND ROAD,MERRI-BEK,UNIT,Commercial 1 Zone,5,Small
2 TARENE STREET,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
2 RUTHERGLEN STREET,GREATER DANDENONG,UNIT,General Residential Zone,5,Small
46 REGENT STREET,YARRA,UNIT,Mixed Use Zone,5,Small
10 VIOLET STREET,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
46 FOAM STREET,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
7 LEWISHAM ROAD,STONNINGTON,UNIT,General Residential Zone,5,Small
59 ALBION STREET,STONNINGTON,UNIT,Neighbourhood Residential Zone,5,Small
309 BARKERS ROAD,BOROONDARA,UNIT,General Residential Zone,5,Small
68 ORMOND ROAD,MOONEE VALLEY,UNIT,General Residential Zone,5,Small
9 CHARNWOOD ROAD,PORT PHILLIP,UNIT,Neighbourhood Residential Zone,5,Small
10 WALTHAM PLACE,YARRA,UNIT,Neighbourhood Residential Zone,5,Small
1 HENRY STREET,BOROONDARA,UNIT,Neighbourhood Residential Zone,5,Small
325 THOMPSONS ROAD,MANNINGHAM,UNIT,General Residential Zone,5,Small
589 BARKLY STREET,MARIBYRNONG,UNIT,General Residential Zone,5,Small
18 NICHOLSON STREET,YARRA,UNIT,General Residential Zone,5,Small
