full_address,council_area,property_type,development_zone_base,property_count,lot_size
642 DONCASTER ROAD,MANNINGHAM,UNIT,Activity Centre Zone,199,Large
45 HAIG STREET,MELBOURNE,UNIT,Capital City Zone,198,Large
9 WATERSIDE PLACE,MELBOURNE,UNIT,Docklands Zone,196,Large
25 THERRY STREET,MELBOURNE,UNIT,Capital City Zone,192,Large
539 ST KILDA ROAD,MELBOURNE,UNIT,Commercial 1 Zone,192,Large
265 EXHIBITION STREET,MELBOURNE,UNIT,Capital City Zone,189,Large
33 BLACKWOOD STREET,MELBOURNE,UNIT,Mixed Use Zone,189,Large
28 BOUVERIE STREET,MELBOURNE,UNIT,Comprehensive Development Zone,188,Large
464 COLLINS STREET,MELBOURNE,UNIT,Capital City Zone,188,Large
422 COLLINS STREET,MELBOURNE,UNIT,Capital City Zone,186,Large
339 SWANSTON STREET,MELBOURNE,UNIT,Capital City Zone,186,Large
555 FLINDERS STREET,MELBOURNE,UNIT,Capital City Zone,185,Large
25 WILLS STREET,BOROONDARA,HOUSE,Neighbourhood Residential Zone,183,Large
250 CITY ROAD,MELBOURNE,UNIT,Capital City Zone,183,Large
138 SPENCER STREET,MELBOURNE,UNIT,Capital City Zone,183,Large
803 DANDENONG ROAD,STONNINGTON,UNIT,Commercial 1 Zone,179,Large
11 ROSE LANE,MELBOURNE,UNIT,Capital City Zone,178,Large
108 FLINDERS STREET,MELBOURNE,UNIT,Capital City Zone,178,Large
1 MORELAND STREET,MARIBYRNONG,UNIT,Activity Centre Zone,178,Large
640 SWANSTON STREET,MELBOURNE,UNIT,Mixed Use Zone,174,Large
36 LA TROBE STREET,MELBOURNE,UNIT,Mixed Use Zone,173,Large
181 EXHIBITION STREET,MELBOURNE,UNIT,Capital City Zone,173,Large
15 CARAVEL LANE,MELBOURNE,UNIT,Docklands Zone,171,Large
101 TRAM ROAD,MANNINGHAM,UNIT,Activity Centre Zone,171,Large
488 SWANSTON STREET,MELBOURNE,UNIT,Mixed Use Zone,169,Large
20 SHAMROCK STREET,YARRA,UNIT,Priority Development Zone,169,Large
557 LITTLE LONSDALE STREET,MELBOURNE,UNIT,Capital City Zone,169,Large
35 SPRING STREET,MELBOURNE,UNIT,Capital City Zone,168,Large
35 QUEENS BRIDGE STREET,MELBOURNE,UNIT,Capital City Zone,166,Large
416 ST KILDA ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,165,Large
35 ALBERT ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,161,Large
8 MCCRAE STREET,MELBOURNE,UNIT,Docklands Zone,161,Large
50 LORIMER STREET,MELBOURNE,UNIT,Docklands Zone,159,Large
288 ALBERT STREET,MERRI-BEK,UNIT,Commercial 1 Zone,159,Large
1 ALMEIDA CRESCENT,STONNINGTON,UNIT,Activity Centre Zone,158,Large
2 NEWQUAY PROMENADE,MELBOURNE,UNIT,Docklands Zone,158,Large
109 CLARENDON STREET,MELBOURNE,UNIT,Capital City Zone,157,Large
88 SOUTHBANK BOULEVARD,MELBOURNE,UNIT,Capital City Zone,157,Large
2 JOSEPH ROAD,MARIBYRNONG,UNIT,Activity Centre Zone,157,Large
83 WHITEMAN STREET,MELBOURNE,UNIT,Capital City Zone,156,Large
238 FLINDERS STREET,MELBOURNE,UNIT,Capital City Zone,156,Large
681 CHAPEL STREET,STONNINGTON,UNIT,Activity Centre Zone,156,Large
2 CLAREMONT STREET,STONNINGTON,UNIT,Activity Centre Zone,155,Large
58 JEFFCOTT STREET,MELBOURNE,UNIT,Mixed Use Zone,155,Large
677 LA TROBE STREET,MELBOURNE,UNIT,Docklands Zone,154,Large
77 RIVER STREET,YARRA,UNIT,Commercial 1 Zone,154,Large
38 ROSE LANE,MELBOURNE,UNIT,Capital City Zone,152,Large
528 SWANSTON STREET,MELBOURNE,UNIT,Mixed Use Zone,152,Large
60 A'BECKETT STREET,MELBOURNE,UNIT,Capital City Zone,152,Large
39 CARAVEL LANE,MELBOURNE,UNIT,Docklands Zone,151,Large
222 RUSSELL STREET,MELBOURNE,UNIT,Capital City Zone,151,Large
241 HARBOUR ESPLANADE,MELBOURNE,UNIT,Docklands Zone,150,Large
7 CLAREMONT STREET,STONNINGTON,UNIT,Activity Centre Zone,150,Large
87 FRANKLIN STREET,MELBOURNE,UNIT,Capital City Zone,147,Large
188 WHITEHORSE ROAD,BOROONDARA,UNIT,Commercial 1 Zone,146,Large
560 LONSDALE STREET,MELBOURNE,UNIT,Capital City Zone,146,Large
27 LITTLE COLLINS STREET,MELBOURNE,UNIT,Capital City Zone,145,Large
120 A'BECKETT STREET,MELBOURNE,UNIT,Capital City Zone,145,Large
65 COVENTRY STREET,MELBOURNE,UNIT,Mixed Use Zone,145,Large
70 DORCAS STREET,MELBOURNE,UNIT,Mixed Use Zone,144,Large
79 WHITEMAN STREET,MELBOURNE,UNIT,Capital City Zone,144,Large
1 POINT PARK CRESCENT,MELBOURNE,UNIT,Docklands Zone,144,Large
14 CLAREMONT STREET,STONNINGTON,UNIT,Activity Centre Zone,142,Large
18 WATERVIEW WALK,MELBOURNE,UNIT,Docklands Zone,142,Large
8 WATERVIEW WALK,MELBOURNE,UNIT,Docklands Zone,142,Large
1 QUEENSBRIDGE SQUARE,MELBOURNE,UNIT,Capital City Zone,142,Large
15 CLIFTON STREET,STONNINGTON,UNIT,Activity Centre Zone,142,Large
12 QUEENS ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,141,Large
22 BARKLY STREET,MERRI-BEK,UNIT,Commercial 1 Zone,140,Large
14 DAVID STREET,GREATER DANDENONG,UNIT,General Residential Zone,140,Large
565 FLINDERS STREET,MELBOURNE,UNIT,Capital City Zone,140,Large
6 LEICESTER STREET,MELBOURNE,UNIT,Capital City Zone,139,Large
8 DOWNIE STREET,MELBOURNE,UNIT,Capital City Zone,138,Large
1 CLARA STREET,MERRI-BEK,UNIT,General Residential Zone,137,Large
233 COLLINS STREET,MELBOURNE,UNIT,Capital City Zone,137,Large
81 SOUTH WHARF DRIVE,MELBOURNE,UNIT,Docklands Zone,137,Large
8 EXPLORATION LANE,MELBOURNE,UNIT,Capital City Zone,135,Large
288 SPENCER STREET,MELBOURNE,UNIT,Capital City Zone,133,Large
8 LYGON STREET,MERRI-BEK,UNIT,Commercial 1 Zone,133,Large
50 HAIG STREET,MELBOURNE,UNIT,Capital City Zone,132,Large
270 KING STREET,MELBOURNE,UNIT,Capital City Zone,132,Large
162 ALBERT STREET,MELBOURNE,UNIT,Mixed Use Zone,132,Large
20 RAKAIA WAY,MELBOURNE,UNIT,Docklands Zone,132,Large
50 ALBERT ROAD,PORT PHILLIP,UNIT,Commercial 1 Zone,132,Large
315 LA TROBE STREET,MELBOURNE,UNIT,Capital City Zone,131,Large
63 HAIG STREET,MELBOURNE,UNIT,Capital City Zone,131,Large
18 ALBERT STREET,MARIBYRNONG,HOUSE,Activity Centre Zone,130,Large
58 CLARKE STREET,MELBOURNE,UNIT,Capital City Zone,129,Large
555 SWANSTON STREET,MELBOURNE,UNIT,Comprehensive Development Zone,129,Large
90 LORIMER STREET,MELBOURNE,UNIT,Docklands Zone,129,Large
5 CARAVEL LANE,MELBOURNE,UNIT,Docklands Zone,129,Large
815 BOURKE STREET,MELBOURNE,UNIT,Docklands Zone,128,Large
99 WHITEMAN STREET,MELBOURNE,UNIT,Capital City Zone,128,Large
