full_address,council_area,property_type,development_zone_base,land_size_group,suburb,property_count,lot_size
"20 BREESE STREET, BRUNSWICK",MERRI-BEK,UNIT,Commercial 1 Zone,large_area,BRUNSWICK,7,Small
"44 SURREY DRIVE, KEILOR EAST",MOONEE VALLEY,HOUSE,General Residential Zone,small_area,KEILOR EAST,7,Small
"2 HUDSON STREET, COBURG",MERRI-BEK,UNIT,Activity Centre Zone,small_area,COBURG,7,Small
"2 HOSKEN STREET, SPRINGVALE SOUTH",GREATER DANDENONG,UNIT,General Residential Zone,small_area,SPRINGVALE SOUTH,7,Small
"44 KERFERD STREET, ESSENDON NORTH",MOONEE VALLEY,UNIT,General Residential Zone,medium_area,ESSENDON NORTH,7,Small
"44 ALBION STREET, SOUTH YARRA",STONNINGTON,UNIT,Neighbourhood Residential Zone,medium_area,SOUTH YARRA,7,Small
"48 SYDNEY ROAD, COBURG",MERRI-BEK,UNIT,Activity Centre Zone,small_area,COBURG,7,Small
"480 GLENFERRIE ROAD, HAWTHORN",BOROONDARA,UNIT,Residential Growth Zone,medium_area,HAWTHORN,7,Small
"20 DUKE STREET, ST KILDA",PORT PHILLIP,UNIT,Neighbourhood Residential Zone,small_area,ST KILDA,7,Small
"2 GRATTAN STREET, HAWTHORN",BOROONDARA,UNIT,General Residential Zone,medium_area,HAWTHORN,7,Small
"47 EVANSDALE ROAD, HAWTHORN",BOROONDARA,UNIT,General Residential Zone,small_area,HAWTHORN,7,Small
"45 ACLAND STREET, ST KILDA",PORT PHILLIP,UNIT,General Residential Zone,medium_area,ST KILDA,7,Small
"20 FLETCHER STREET, ESSENDON",MOONEE VALLEY,UNIT,General Residential Zone,medium_area,ESSENDON,7,Small
"45 CARROLL CRESCENT, GLEN IRIS",STONNINGTON,UNIT,General Residential Zone,small_area,GLEN IRIS,7,Small
"46 BAKER STREET, RICHMOND",YARRA,UNIT,General Residential Zone,medium_area,RICHMOND,7,Small
"2 RAE COURT, PRAHRAN",STONNINGTON,UNIT,General Residential Zone,small_area,PRAHRAN,7,Small
"46 CLARENDON STREET, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,medium_area,SOUTHBANK,7,Small
"450 BELL STREET, PASCOE VALE SOUTH",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,PASCOE VALE SOUTH,7,Small
"2 ROTHERWOOD STREET, RICHMOND",YARRA,UNIT,Neighbourhood Residential Zone,small_area,RICHMOND,7,Small
"46 ORLEANS ROAD, AVONDALE HEIGHTS",MOONEE VALLEY,UNIT,General Residential Zone,large_area,AVONDALE HEIGHTS,7,Small
"45 SHELLEY STREET, ELWOOD",PORT PHILLIP,UNIT,Neighbourhood Residential Zone,small_area,ELWOOD,7,Small
"2 MILLEARA ROAD, KEILOR EAST",MOONEE VALLEY,HOUSE,General Residential Zone,small_area,KEILOR EAST,7,Small
"2 SEISMAN PLACE, PORT MELBOURNE",PORT PHILLIP,UNIT,Residential Growth Zone,large_area,PORT MELBOURNE,7,Small
"2 SOUTHEY STREET, ELWOOD",PORT PHILLIP,UNIT,Neighbourhood Residential Zone,small_area,ELWOOD,7,Small
"2 MAY GROVE, SOUTH YARRA",STONNINGTON,UNIT,Neighbourhood Residential Zone,small_area,SOUTH YARRA,7,Small
"46 WESTBURY STREET, ST KILDA EAST",PORT PHILLIP,HOUSE,General Residential Zone,medium_area,ST KILDA EAST,7,Small
"2 MARY STREET, SPRINGVALE",GREATER DANDENONG,HOUSE,Residential Growth Zone,small_area,SPRINGVALE,7,Small
"45 HERBERT STREET, DANDENONG",GREATER DANDENONG,UNIT,General Residential Zone,small_area,DANDENONG,7,Small
"2 ST KINNORD STREET, ABERFELDIE",MOONEE VALLEY,UNIT,General Residential Zone,medium_area,ABERFELDIE,7,Small
"2 STANHOPE COURT, SOUTH YARRA",STONNINGTON,HOUSE,Neighbourhood Residential Zone,small_area,SOUTH YARRA,7,Small
"45 CLYDE STREET, ST KILDA",PORT PHILLIP,UNIT,Neighbourhood Residential Zone,small_area,ST KILDA,7,Small
"43 ROBINSON ROAD, HAWTHORN",BOROONDARA,UNIT,General Residential Zone,small_area,HAWTHORN,7,Small
"49 PATTERSON STREET, MIDDLE PARK",PORT PHILLIP,UNIT,Neighbourhood Residential Zone,small_area,MIDDLE PARK,7,Small
"42 FOAM STREET, ELWOOD",PORT PHILLIP,UNIT,Neighbourhood Residential Zone,small_area,ELWOOD,7,Small
"42 WINTER STREET, MALVERN",STONNINGTON,UNIT,General Residential Zone,medium_area,MALVERN,7,Small
"42 WESTS ROAD, MARIBYRNONG",MARIBYRNONG,UNIT,Mixed Use Zone,large_area,MARIBYRNONG,7,Small
"2 CARMYLE COURT, AVONDALE HEIGHTS",MOONEE VALLEY,UNIT,General Residential Zone,small_area,AVONDALE HEIGHTS,7,Small
"42 WATTLETREE ROAD, ARMADALE",STONNINGTON,UNIT,Residential Growth Zone,small_area,ARMADALE,7,Small
"2 CARLTON STREET, CARLTON",MELBOURNE,HOUSE,General Residential Zone,medium_area,CARLTON,7,Small
"42 THE AVENUE, BALACLAVA",PORT PHILLIP,FLATS,General Residential Zone,medium_area,BALACLAVA,7,Small
"5 GORDON STREET, FOOTSCRAY",MARIBYRNONG,UNIT,Residential Growth Zone,medium_area,FOOTSCRAY,7,Small
"42 SCOTT GROVE, GLEN IRIS",STONNINGTON,UNIT,General Residential Zone,medium_area,GLEN IRIS,7,Small
"5 GROSVENOR STREET, DONCASTER",MANNINGHAM,UNIT,Activity Centre Zone,large_area,DONCASTER,7,Small
"42 MURPHY STREET, RICHMOND",YARRA,UNIT,General Residential Zone,small_area,RICHMOND,7,Small
"20 STANLAKE STREET, FOOTSCRAY",MARIBYRNONG,HOUSE,General Residential Zone,small_area,FOOTSCRAY,7,Small
"2 BRIGHTON STREET, FLEMINGTON",MOONEE VALLEY,UNIT,General Residential Zone,small_area,FLEMINGTON,7,Small
"5 INDUSTRY LANE, COBURG",MERRI-BEK,UNIT,Activity Centre Zone,large_area,COBURG,7,Small
"5 JESSAMINE AVENUE, PRAHRAN",STONNINGTON,UNIT,Neighbourhood Residential Zone,medium_area,PRAHRAN,7,Small
"2 BENDIGO AVENUE, ELWOOD",PORT PHILLIP,UNIT,Neighbourhood Residential Zone,small_area,ELWOOD,7,Small
"20 VALIANT STREET, ABBOTSFORD",YARRA,UNIT,Neighbourhood Residential Zone,small_area,ABBOTSFORD,7,Small
"5 NORTHUMBERLAND ROAD, PASCOE VALE",MERRI-BEK,UNIT,Residential Growth Zone,small_area,PASCOE VALE,7,Small
"20 WALSH STREET, SOUTH YARRA",MELBOURNE,UNIT,General Residential Zone,small_area,SOUTH YARRA,7,Small
"42 WILLS STREET, GLEN IRIS",STONNINGTON,UNIT,General Residential Zone,medium_area,GLEN IRIS,7,Small
"5 EMPIRE STREET, FOOTSCRAY",MARIBYRNONG,UNIT,Residential Growth Zone,medium_area,FOOTSCRAY,7,Small
"43 NICHOLSON STREET, ABBOTSFORD",YARRA,UNIT,General Residential Zone,medium_area,ABBOTSFORD,7,Small
"5 ELDRIDGE STREET, FOOTSCRAY",MARIBYRNONG,UNIT,Residential Growth Zone,medium_area,FOOTSCRAY,7,Small
"2 FODEN STREET, BRUNSWICK WEST",MERRI-BEK,UNIT,General Residential Zone,small_area,BRUNSWICK WEST,7,Small
"43 MURRAY STREET, PRAHRAN",STONNINGTON,UNIT,General Residential Zone,small_area,PRAHRAN,7,Small
"43 DALGETY STREET, ST KILDA",PORT PHILLIP,UNIT,General Residential Zone,small_area,ST KILDA,7,Small
"43 CECIL STREET, KEW",BOROONDARA,UNIT,Neighbourhood Residential Zone,small_area,KEW,7,Small
"20 HUGHENDEN ROAD, ST KILDA EAST",PORT PHILLIP,UNIT,General Residential Zone,small_area,ST KILDA EAST,7,Small
"20 JOHNSTONE STREET, MALVERN",STONNINGTON,UNIT,General Residential Zone,small_area,MALVERN,7,Small
"20 MANTELL STREET, MOONEE PONDS",MOONEE VALLEY,UNIT,General Residential Zone,small_area,MOONEE PONDS,7,Small
"5 BALLARAT ROAD, FOOTSCRAY",MARIBYRNONG,UNIT,General Residential Zone,small_area,FOOTSCRAY,7,Small
"5 BARKLY STREET, BRUNSWICK EAST",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,BRUNSWICK EAST,7,Small
"20 MARK STREET, NORTH MELBOURNE",MELBOURNE,UNIT,Mixed Use Zone,small_area,NORTH MELBOURNE,7,Small
"43 ARNDT ROAD, PASCOE VALE",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,PASCOE VALE,7,Small
"5 CELESTE COURT, ST KILDA EAST",PORT PHILLIP,UNIT,General Residential Zone,small_area,ST KILDA EAST,7,Small
"427 BRUNSWICK ROAD, BRUNSWICK WEST",MERRI-BEK,UNIT,Neighbourhood Residential Zone,medium_area,BRUNSWICK WEST,7,Small
"5 CLARA STREET, SOUTH YARRA",STONNINGTON,UNIT,General Residential Zone,large_area,SOUTH YARRA,7,Small
"5 DAVISONS PLACE, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,7,Small
"20 PARK AVENUE, RICHMOND",YARRA,UNIT,General Residential Zone,small_area,RICHMOND,7,Small
"5 DENHAM STREET, HAWTHORN",BOROONDARA,UNIT,General Residential Zone,medium_area,HAWTHORN,7,Small
"39 ACLAND STREET, ST KILDA",PORT PHILLIP,UNIT,General Residential Zone,medium_area,ST KILDA,7,Small
"56 POTTER STREET, DANDENONG",GREATER DANDENONG,UNIT,Residential Growth Zone,medium_area,DANDENONG,7,Small
"17 KELVIN GROVE, PRAHRAN",STONNINGTON,UNIT,Neighbourhood Residential Zone,medium_area,PRAHRAN,7,Small
"659 BARKLY STREET, WEST FOOTSCRAY",MARIBYRNONG,UNIT,General Residential Zone,medium_area,WEST FOOTSCRAY,7,Small
"35 GLEN HUNTLY ROAD, ELWOOD",PORT PHILLIP,UNIT,Commercial 1 Zone,small_area,ELWOOD,7,Small
"646 MALVERN ROAD, PRAHRAN",STONNINGTON,HOUSE,Residential Growth Zone,medium_area,PRAHRAN,7,Small
"220 RODEN STREET, WEST MELBOURNE",MELBOURNE,UNIT,Mixed Use Zone,small_area,WEST MELBOURNE,7,Small
"35 FOOTE STREET, TEMPLESTOWE LOWER",MANNINGHAM,UNIT,General Residential Zone,medium_area,TEMPLESTOWE LOWER,7,Small
"175 FITZROY STREET, FITZROY",YARRA,UNIT,Neighbourhood Residential Zone,small_area,FITZROY,7,Small
"175 COTHAM ROAD, KEW",BOROONDARA,UNIT,Neighbourhood Residential Zone,medium_area,KEW,7,Small
"656 PASCOE VALE ROAD, OAK PARK",MERRI-BEK,UNIT,General Residential Zone,small_area,OAK PARK,7,Small
"222 ROUSE STREET, PORT MELBOURNE",PORT PHILLIP,UNIT,Mixed Use Zone,small_area,PORT MELBOURNE,7,Small
"35 ALPINE GROVE, PASCOE VALE",MERRI-BEK,HOUSE,Neighbourhood Residential Zone,small_area,PASCOE VALE,7,Small
"188 BARKLY STREET, ST KILDA",PORT PHILLIP,UNIT,Commercial 1 Zone,medium_area,ST KILDA,7,Small
"451 PRINCES HIGHWAY, NOBLE PARK",GREATER DANDENONG,UNIT,General Residential Zone,small_area,NOBLE PARK,7,Small
"224 ALMA ROAD, ST KILDA EAST",PORT PHILLIP,UNIT,General Residential Zone,small_area,ST KILDA EAST,7,Small
"66 WILSON STREET, YARRAVILLE",MARIBYRNONG,UNIT,General Residential Zone,small_area,YARRAVILLE,7,Small
"660 MALVERN ROAD, PRAHRAN",STONNINGTON,UNIT,Residential Growth Zone,medium_area,PRAHRAN,7,Small
"661 MALVERN ROAD, TOORAK",STONNINGTON,UNIT,Residential Growth Zone,small_area,TOORAK,7,Small
"34 WILSONS ROAD, DONCASTER",MANNINGHAM,UNIT,General Residential Zone,small_area,DONCASTER,7,Small
"67 AUBURN ROAD, HAWTHORN",BOROONDARA,UNIT,General Residential Zone,small_area,HAWTHORN,7,Small
"34 STUD ROAD, DANDENONG",GREATER DANDENONG,UNIT,Residential Growth Zone,small_area,DANDENONG,7,Small
"64 VICTORIA AVENUE, ALBERT PARK",PORT PHILLIP,UNIT,Neighbourhood Residential Zone,small_area,ALBERT PARK,7,Small
"176 NOONE STREET, CLIFTON HILL",YARRA,UNIT,Mixed Use Zone,small_area,CLIFTON HILL,7,Small
"35 LYTTON STREET, CARLTON",MELBOURNE,UNIT,General Residential Zone,large_area,CARLTON,7,Small
"64 SCOTT STREET, DANDENONG",GREATER DANDENONG,UNIT,Residential Growth Zone,medium_area,DANDENONG,7,Small
"616 GLENFERRIE ROAD, HAWTHORN",BOROONDARA,UNIT,Commercial 1 Zone,medium_area,HAWTHORN,7,Small
"353 GEELONG ROAD, KINGSVILLE",MARIBYRNONG,UNIT,General Residential Zone,small_area,KINGSVILLE,7,Small
"352 ALBERT ROAD, SOUTH MELBOURNE",PORT PHILLIP,UNIT,Neighbourhood Residential Zone,small_area,SOUTH MELBOURNE,7,Small
"22 MURPHY STREET, SOUTH YARRA",STONNINGTON,UNIT,General Residential Zone,small_area,SOUTH YARRA,7,Small
"22 MYAMYN STREET, ARMADALE",STONNINGTON,UNIT,Commercial 1 Zone,medium_area,ARMADALE,7,Small
"179 RIVERSDALE ROAD, HAWTHORN",BOROONDARA,UNIT,Residential Growth Zone,small_area,HAWTHORN,7,Small
"63 DARLING STREET, SOUTH YARRA",STONNINGTON,UNIT,General Residential Zone,medium_area,SOUTH YARRA,7,Small
"35 OSBORNE AVENUE, GLEN IRIS",STONNINGTON,UNIT,General Residential Zone,medium_area,GLEN IRIS,7,Small
"22 PICKETT STREET, FOOTSCRAY",MARIBYRNONG,UNIT,Activity Centre Zone,small_area,FOOTSCRAY,7,Small
"63 RICHMOND TERRACE, RICHMOND",YARRA,UNIT,Neighbourhood Residential Zone,medium_area,RICHMOND,7,Small
"22 SELBOURNE STREET, COBURG",MERRI-BEK,UNIT,Neighbourhood Residential Zone,medium_area,COBURG,7,Small
"638 MALVERN ROAD, PRAHRAN",STONNINGTON,UNIT,Residential Growth Zone,medium_area,PRAHRAN,7,Small
"35 MAYSTON STREET, HAWTHORN EAST",BOROONDARA,UNIT,Neighbourhood Residential Zone,medium_area,HAWTHORN EAST,7,Small
"64 DOVER STREET, FLEMINGTON",MOONEE VALLEY,UNIT,General Residential Zone,small_area,FLEMINGTON,7,Small
"64 EDGAR STREET NORTH, GLEN IRIS",STONNINGTON,UNIT,General Residential Zone,medium_area,GLEN IRIS,7,Small
"22 WHITBY STREET, BRUNSWICK WEST",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,BRUNSWICK WEST,7,Small
"35 MARINE PARADE, ST KILDA",PORT PHILLIP,UNIT,General Residential Zone,medium_area,ST KILDA,7,Small
"34 SMITH STREET, COLLINGWOOD",YARRA,UNIT,Commercial 1 Zone,medium_area,COLLINGWOOD,7,Small
"67 LEBANON STREET, STRATHMORE",MOONEE VALLEY,UNIT,General Residential Zone,small_area,STRATHMORE,7,Small
"172 PRINCES STREET, CARLTON NORTH",YARRA,UNIT,Neighbourhood Residential Zone,medium_area,CARLTON NORTH,7,Small
"17 RIVER STREET, RICHMOND",YARRA,UNIT,General Residential Zone,large_area,RICHMOND,7,Small
"332 DANDENONG ROAD, ST KILDA EAST",PORT PHILLIP,UNIT,General Residential Zone,medium_area,ST KILDA EAST,7,Small
"33 RATHDOWNE STREET, CARLTON",MELBOURNE,UNIT,Mixed Use Zone,small_area,CARLTON,7,Small
"7 DUNBLANE ROAD, NOBLE PARK",GREATER DANDENONG,UNIT,General Residential Zone,small_area,NOBLE PARK,7,Small
"17 MYAMYN STREET, ARMADALE",STONNINGTON,UNIT,Residential Growth Zone,medium_area,ARMADALE,7,Small
"17 MUNRO STREET, ASCOT VALE",MOONEE VALLEY,UNIT,General Residential Zone,medium_area,ASCOT VALE,7,Small
"33 PARKHILL ROAD, KEW",BOROONDARA,UNIT,Neighbourhood Residential Zone,medium_area,KEW,7,Small
"17 MUIR STREET, HAWTHORN",BOROONDARA,UNIT,General Residential Zone,medium_area,HAWTHORN,7,Small
"33 ORANGE GROVE, BALACLAVA",PORT PHILLIP,UNIT,Neighbourhood Residential Zone,small_area,BALACLAVA,7,Small
"33 NOBLE STREET, NOBLE PARK",GREATER DANDENONG,UNIT,Residential Growth Zone,small_area,NOBLE PARK,7,Small
"33 MCLEAN STREET, BRUNSWICK WEST",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,BRUNSWICK WEST,7,Small
"33 FINTONIA ROAD, NOBLE PARK",GREATER DANDENONG,UNIT,General Residential Zone,small_area,NOBLE PARK,7,Small
"7 FERNCROFT AVENUE, MALVERN EAST",STONNINGTON,UNIT,Neighbourhood Residential Zone,medium_area,MALVERN EAST,7,Small
"7 FLOWER STREET, ESSENDON",MOONEE VALLEY,UNIT,General Residential Zone,medium_area,ESSENDON,7,Small
"33 ELDRIDGE STREET, FOOTSCRAY",MARIBYRNONG,UNIT,Residential Growth Zone,medium_area,FOOTSCRAY,7,Small
"33 BRIGHTON ROAD, ST KILDA",PORT PHILLIP,UNIT,General Residential Zone,small_area,ST KILDA,7,Small
"33 ANDERSON ROAD, HAWTHORN EAST",BOROONDARA,UNIT,Neighbourhood Residential Zone,medium_area,HAWTHORN EAST,7,Small
"17 KINGSVILLE STREET, KINGSVILLE",MARIBYRNONG,HOUSE,General Residential Zone,medium_area,KINGSVILLE,7,Small
"23 ALEXANDRA AVENUE, SOUTH YARRA",MELBOURNE,UNIT,General Residential Zone,small_area,SOUTH YARRA,7,Small
"332 PASCOE VALE ROAD, ESSENDON",MOONEE VALLEY,UNIT,General Residential Zone,medium_area,ESSENDON,7,Small
"225 MARIBYRNONG ROAD, ASCOT VALE",MOONEE VALLEY,UNIT,General Residential Zone,small_area,ASCOT VALE,7,Small
"695 PASCOE VALE ROAD, GLENROY",MERRI-BEK,UNIT,General Residential Zone,medium_area,GLENROY,7,Small
"34 ROCKLEY ROAD, SOUTH YARRA",STONNINGTON,UNIT,General Residential Zone,medium_area,SOUTH YARRA,7,Small
"226 GLENLYON ROAD, BRUNSWICK EAST",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,BRUNSWICK EAST,7,Small
"34 PARK STREET, MOONEE PONDS",MOONEE VALLEY,UNIT,General Residential Zone,small_area,MOONEE PONDS,7,Small
"34 OSBORNE AVENUE, GLEN IRIS",STONNINGTON,UNIT,General Residential Zone,medium_area,GLEN IRIS,7,Small
"68 DE CARLE STREET, BRUNSWICK",MERRI-BEK,UNIT,Neighbourhood Residential Zone,medium_area,BRUNSWICK,7,Small
"228 BUCKLEY STREET, ESSENDON",MOONEE VALLEY,UNIT,Commercial 1 Zone,small_area,ESSENDON,7,Small
"68 RIVER ESPLANADE, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,7,Small
"689 MT ALEXANDER ROAD, MOONEE PONDS",MOONEE VALLEY,UNIT,Activity Centre Zone,small_area,MOONEE PONDS,7,Small
"34 CHOMLEY STREET, PRAHRAN",STONNINGTON,UNIT,General Residential Zone,medium_area,PRAHRAN,7,Small
"229 ALMA ROAD, ST KILDA EAST",PORT PHILLIP,UNIT,Neighbourhood Residential Zone,small_area,ST KILDA EAST,7,Small
"170 BULLEEN ROAD, BULLEEN",MANNINGHAM,UNIT,Residential Growth Zone,medium_area,BULLEEN,7,Small
"69 EDINBURGH STREET, FLEMINGTON",MOONEE VALLEY,UNIT,General Residential Zone,medium_area,FLEMINGTON,7,Small
"334 NICHOLSON STREET, YARRAVILLE",MARIBYRNONG,UNIT,General Residential Zone,small_area,YARRAVILLE,7,Small
"69 SPRAY STREET, ELWOOD",PORT PHILLIP,UNIT,Neighbourhood Residential Zone,small_area,ELWOOD,7,Small
"333 FERRARS STREET, SOUTH MELBOURNE",PORT PHILLIP,UNIT,Mixed Use Zone,small_area,SOUTH MELBOURNE,7,Small
"695 PARK STREET, BRUNSWICK",MERRI-BEK,UNIT,General Residential Zone,medium_area,BRUNSWICK,7,Small
"17 STILLMAN STREET, RICHMOND",YARRA,UNIT,General Residential Zone,small_area,RICHMOND,7,Small
"614 BARKLY STREET, WEST FOOTSCRAY",MARIBYRNONG,UNIT,General Residential Zone,small_area,WEST FOOTSCRAY,7,Small
"18 BURNS STREET, ELWOOD",PORT PHILLIP,UNIT,Neighbourhood Residential Zone,small_area,ELWOOD,7,Small
"22 FINDON STREET, HAWTHORN",BOROONDARA,UNIT,General Residential Zone,medium_area,HAWTHORN,7,Small
"184 WATTLETREE ROAD, MALVERN",STONNINGTON,UNIT,General Residential Zone,small_area,MALVERN,7,Small
"58 NOCKOLDS CRESCENT, NOBLE PARK",GREATER DANDENONG,UNIT,General Residential Zone,small_area,NOBLE PARK,7,Small
"58 POTTER STREET, DANDENONG",GREATER DANDENONG,UNIT,Residential Growth Zone,medium_area,DANDENONG,7,Small
"184 BARKLY STREET, FITZROY NORTH",YARRA,UNIT,Neighbourhood Residential Zone,small_area,FITZROY NORTH,7,Small
"184 AUBURN ROAD, HAWTHORN",BOROONDARA,UNIT,Neighbourhood Residential Zone,medium_area,HAWTHORN,7,Small
"183 NAPIER STREET, ESSENDON",MOONEE VALLEY,UNIT,General Residential Zone,small_area,ESSENDON,7,Small
"183 KOOYONG ROAD, TOORAK",STONNINGTON,UNIT,General Residential Zone,medium_area,TOORAK,7,Small
"58 TYPE STREET, RICHMOND",YARRA,UNIT,General Residential Zone,small_area,RICHMOND,7,Small
"183 AUBURN ROAD, HAWTHORN",BOROONDARA,UNIT,General Residential Zone,medium_area,HAWTHORN,7,Small
"59 BUCKLEY STREET, MOONEE PONDS",MOONEE VALLEY,UNIT,General Residential Zone,small_area,MOONEE PONDS,7,Small
"59 DARLING STREET, SOUTH YARRA",STONNINGTON,HOUSE,General Residential Zone,small_area,SOUTH YARRA,7,Small
"21 WYNNSTAY ROAD, PRAHRAN",STONNINGTON,UNIT,General Residential Zone,medium_area,PRAHRAN,7,Small
"372 AUBURN ROAD, HAWTHORN",BOROONDARA,UNIT,General Residential Zone,small_area,HAWTHORN,7,Small
"59 SOUTHEY STREET, ELWOOD",PORT PHILLIP,UNIT,General Residential Zone,small_area,ELWOOD,7,Small
"59 YOUNG STREET, FITZROY",YARRA,UNIT,Mixed Use Zone,small_area,FITZROY,7,Small
"37 RALSTON STREET, SOUTH YARRA",STONNINGTON,UNIT,Activity Centre Zone,small_area,SOUTH YARRA,7,Small
"37 MICHAEL STREET, FITZROY NORTH",YARRA,UNIT,Neighbourhood Residential Zone,medium_area,FITZROY NORTH,7,Small
"37 KENSINGTON ROAD, KENSINGTON",MELBOURNE,HOUSE,General Residential Zone,small_area,KENSINGTON,7,Small
"379 WATTLETREE ROAD, MALVERN EAST",STONNINGTON,UNIT,General Residential Zone,medium_area,MALVERN EAST,7,Small
"21 ST PHILLIP STREET, BRUNSWICK EAST",MERRI-BEK,UNIT,Mixed Use Zone,medium_area,BRUNSWICK EAST,7,Small
"6 BRENTWOOD AVENUE, PASCOE VALE SOUTH",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,PASCOE VALE SOUTH,7,Small
"21 SPRING ROAD, SPRINGVALE SOUTH",GREATER DANDENONG,UNIT,General Residential Zone,small_area,SPRINGVALE SOUTH,7,Small
"56 RATHMINES ROAD, HAWTHORN EAST",BOROONDARA,UNIT,Neighbourhood Residential Zone,small_area,HAWTHORN EAST,7,Small
"21 MILTON STREET, ELWOOD",PORT PHILLIP,HOUSE,General Residential Zone,small_area,ELWOOD,7,Small
"382 BURWOOD ROAD, HAWTHORN",BOROONDARA,UNIT,Commercial 1 Zone,small_area,HAWTHORN,7,Small
"187 KOOYONG ROAD, TOORAK",STONNINGTON,UNIT,General Residential Zone,medium_area,TOORAK,7,Small
"564 GLENFERRIE ROAD, HAWTHORN",BOROONDARA,UNIT,Residential Growth Zone,medium_area,HAWTHORN,7,Small
"38 WATTLETREE ROAD, ARMADALE",STONNINGTON,UNIT,Residential Growth Zone,small_area,ARMADALE,7,Small
"38 SPRAY STREET, ELWOOD",PORT PHILLIP,FLATS,Neighbourhood Residential Zone,small_area,ELWOOD,7,Small
"38 NEWSTEAD STREET, MARIBYRNONG",MARIBYRNONG,UNIT,General Residential Zone,medium_area,MARIBYRNONG,7,Small
"567 TOORAK ROAD, TOORAK",STONNINGTON,HOUSE,General Residential Zone,medium_area,TOORAK,7,Small
"21 POTTER STREET, DANDENONG",GREATER DANDENONG,UNIT,Residential Growth Zone,medium_area,DANDENONG,7,Small
"57 ANDERSON STREET, TEMPLESTOWE",MANNINGHAM,UNIT,General Residential Zone,medium_area,TEMPLESTOWE,7,Small
"38 MAYSTON STREET, HAWTHORN EAST",BOROONDARA,UNIT,Neighbourhood Residential Zone,small_area,HAWTHORN EAST,7,Small
"21 RICHARDSON STREET, ESSENDON",MOONEE VALLEY,UNIT,General Residential Zone,small_area,ESSENDON,7,Small
"21 ROCKLEY ROAD, SOUTH YARRA",STONNINGTON,UNIT,General Residential Zone,medium_area,SOUTH YARRA,7,Small
"57 ORMOND ESPLANADE, ELWOOD",PORT PHILLIP,UNIT,General Residential Zone,medium_area,ELWOOD,7,Small
"21 ROSE STREET, FITZROY",YARRA,UNIT,Mixed Use Zone,small_area,FITZROY,7,Small
"185 BRUNSWICK ROAD, BRUNSWICK",MERRI-BEK,UNIT,Neighbourhood Residential Zone,small_area,BRUNSWICK,7,Small
"6 BOSQUET STREET, MAIDSTONE",MARIBYRNONG,UNIT,General Residential Zone,small_area,MAIDSTONE,7,Small
"37 FOAM STREET, ELWOOD",PORT PHILLIP,UNIT,Neighbourhood Residential Zone,small_area,ELWOOD,7,Small
"36 BARKLY STREET, ST KILDA",PORT PHILLIP,UNIT,Mixed Use Zone,small_area,ST KILDA,7,Small
"22 ACLAND STREET, ST KILDA",PORT PHILLIP,HOUSE,General Residential Zone,medium_area,ST KILDA,7,Small
"36 PEARSON STREET, BRUNSWICK WEST",MERRI-BEK,UNIT,Neighbourhood Residential Zone,medium_area,BRUNSWICK WEST,7,Small
"60 OMAR STREET, MAIDSTONE",MARIBYRNONG,UNIT,General Residential Zone,small_area,MAIDSTONE,7,Small
"60 PEEL STREET, KEW",BOROONDARA,UNIT,General Residential Zone,medium_area,KEW,7,Small
"60 YARRALEA STREET, ALPHINGTON",YARRA,UNIT,Neighbourhood Residential Zone,small_area,ALPHINGTON,7,Small
"22 BISHOP STREET, KINGSVILLE",MARIBYRNONG,UNIT,General Residential Zone,medium_area,KINGSVILLE,7,Small
"36 OSBORNE AVENUE, GLEN IRIS",STONNINGTON,UNIT,General Residential Zone,small_area,GLEN IRIS,7,Small
"36 JOHNSTONE STREET, MALVERN",STONNINGTON,UNIT,General Residential Zone,small_area,MALVERN,7,Small
"22 BRENBEAL STREET, BALWYN",BOROONDARA,UNIT,General Residential Zone,small_area,BALWYN,7,Small
"36 HAMPTON PARADE, WEST FOOTSCRAY",MARIBYRNONG,UNIT,General Residential Zone,small_area,WEST FOOTSCRAY,7,Small
"22 CHARNWOOD CRESCENT, ST KILDA",PORT PHILLIP,UNIT,Neighbourhood Residential Zone,medium_area,ST KILDA,7,Small
"18 GOLDEN GROVE, SPRINGVALE SOUTH",GREATER DANDENONG,UNIT,General Residential Zone,small_area,SPRINGVALE SOUTH,7,Small
"61 DAVID STREET, BRUNSWICK",MERRI-BEK,UNIT,Commercial 1 Zone,small_area,BRUNSWICK,7,Small
"61 DENHAM STREET, HAWTHORN",BOROONDARA,UNIT,Neighbourhood Residential Zone,small_area,HAWTHORN,7,Small
"36 EDGAR STREET, KINGSVILLE",MARIBYRNONG,UNIT,General Residential Zone,medium_area,KINGSVILLE,7,Small
