full_address,council_area,property_type,development_zone_base,land_size_group,suburb,property_count,lot_size
"601 LITTLE LONSDALE STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,258,Large
"23 MACKENZIE STREET, MELBOURNE",MELBOURNE,UNIT,Mixed Use Zone,medium_area,MELBOURNE,254,Large
"483 SWANSTON STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,large_area,MELBOURNE,251,Large
"105 CLARENDON STREET, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,medium_area,SOUTHBANK,250,Large
"83 QUEENS BRIDGE STREET, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,large_area,SOUTHBANK,245,Large
"38 MT ALEXANDER ROAD, TRAVANCORE",MOONEE VALLEY,UNIT,Commercial 1 Zone,large_area,TRAVANCORE,245,Large
"152 STURT STREET, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,large_area,SOUTHBANK,244,Large
"8 MARMION PLACE, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,243,Large
"770 TOORAK ROAD, GLEN IRIS",BOROONDARA,UNIT,Priority Development Zone,large_area,GLEN IRIS,239,Large
"65 DUDLEY STREET, WEST MELBOURNE",MELBOURNE,UNIT,Mixed Use Zone,large_area,WEST MELBOURNE,238,Large
"915 COLLINS STREET, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,238,Large
"68 LA TROBE STREET, MELBOURNE",MELBOURNE,UNIT,Mixed Use Zone,large_area,MELBOURNE,237,Large
"231 HARBOUR ESPLANADE, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,232,Large
"318 RUSSELL STREET, MELBOURNE",MELBOURNE,HOUSE,Capital City Zone,medium_area,MELBOURNE,231,Large
"8 FRANKLIN STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,large_area,MELBOURNE,226,Large
"285 LA TROBE STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,small_area,MELBOURNE,225,Large
"60 SIDDELEY STREET, DOCKLANDS",MELBOURNE,UNIT,Capital City Zone,large_area,DOCKLANDS,225,Large
"7 KATHERINE PLACE, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,224,Large
"229 TOORAK ROAD, SOUTH YARRA",STONNINGTON,UNIT,Activity Centre Zone,large_area,SOUTH YARRA,224,Large
"462 ELIZABETH STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,220,Large
"250 ELIZABETH STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,large_area,MELBOURNE,219,Large
"620 COLLINS STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,211,Large
"131 PELHAM STREET, CARLTON",MELBOURNE,UNIT,Mixed Use Zone,small_area,CARLTON,208,Large
"39 LONSDALE STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,small_area,MELBOURNE,205,Large
"32 BRAY STREET, SOUTH YARRA",STONNINGTON,UNIT,Activity Centre Zone,medium_area,SOUTH YARRA,204,Large
"8 WATERSIDE PLACE, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,204,Large
"380 LITTLE LONSDALE STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,201,Large
"80 CHELTENHAM ROAD, DANDENONG",GREATER DANDENONG,UNIT,Comprehensive Development Zone,large_area,DANDENONG,201,Large
"8 SUTHERLAND STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,200,Large
"642 DONCASTER ROAD, DONCASTER",MANNINGHAM,UNIT,Activity Centre Zone,large_area,DONCASTER,199,Large
"45 HAIG STREET, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,large_area,SOUTHBANK,198,Large
"9 WATERSIDE PLACE, DOCKLANDS",MELBOURNE,UNIT,Docklands Zone,large_area,DOCKLANDS,196,Large
"25 THERRY STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,192,Large
"539 ST KILDA ROAD, MELBOURNE",MELBOURNE,UNIT,Commercial 1 Zone,large_area,MELBOURNE,192,Large
"265 EXHIBITION STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,189,Large
"33 BLACKWOOD STREET, NORTH MELBOURNE",MELBOURNE,UNIT,Mixed Use Zone,large_area,NORTH MELBOURNE,189,Large
"464 COLLINS STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,small_area,MELBOURNE,188,Large
"28 BOUVERIE STREET, CARLTON",MELBOURNE,UNIT,Comprehensive Development Zone,medium_area,CARLTON,188,Large
"339 SWANSTON STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,186,Large
"422 COLLINS STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,186,Large
"555 FLINDERS STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,large_area,MELBOURNE,185,Large
"250 CITY ROAD, SOUTHBANK",MELBOURNE,UNIT,Capital City Zone,small_area,SOUTHBANK,183,Large
"138 SPENCER STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,183,Large
"25 WILLS STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,small_area,MELBOURNE,182,Large
"803 DANDENONG ROAD, MALVERN EAST",STONNINGTON,UNIT,Commercial 1 Zone,large_area,MALVERN EAST,179,Large
"11 ROSE LANE, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,large_area,MELBOURNE,178,Large
"108 FLINDERS STREET, MELBOURNE",MELBOURNE,UNIT,Capital City Zone,medium_area,MELBOURNE,178,Large
